result_schema_version,generated_at_utc,git_commit,git_dirty,project,mode,status,reason,run_dir,loc_c,c_function_count,c_parameter_count,c_pointer_parameter_count,c_pointer_parameter_density,c_cyclomatic_complexity_total,c_cyclomatic_complexity_average,unsupported_function_count,unsupported_construct_count,unsupported_constructs,analysis_backend,analysis_backend_reason,primary_function,primary_expected_eligibility,primary_plan_status,primary_eligible,primary_fully_safe_accepted,primary_outcome,target_functions,target_count,target_fully_safe_accepted_units,target_acceptance_rate,target_outcomes,total_units,eligible_units,candidate_safe_units,synthesis_supported_units,generated_units,compile_success_units,policy_safe_units,behaviorally_validated_units,fully_safe_accepted_units,fully_safe_translation_unit_acceptance_rate,eligibility_counts,candidate_decision_counts,synthesis_support_counts,role_outcome_counts,complete_project_policy_safe,complete_project_behaviorally_validated,idiom_success_counts,failure_categories,loc_rust_baseline,loc_rust_safemap,c2rust_compile,safemap_compile,c2rust_tests,safemap_tests,safemap_cargo_check_status,safemap_cargo_check_reason,safemap_cargo_test_status,safemap_cargo_test_reason,safemap_clippy_status,safemap_clippy_reason,safemap_differential_status,safemap_differential_reason,c_sanitizer_status,c_sanitizer_reason,validation_status_counts,c2rust_unsafe_blocks,safemap_unsafe_blocks,c2rust_raw_pointers,safemap_raw_pointers,clippy_warnings,miri_status,miri_reason,miri_passed,miri_failed,miri_diagnostics,differential_pass_rate,repair_attempts,llm_calls,llm_input_tokens,llm_output_tokens
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_max,safemap_deterministic,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_deterministic/.safemap/runs/20260811T033511Z-array_max-af46bcfe,15,2,2,1,0.5,4,2.0,0,0,{},libclang,,array_max,safe_translatable_with_api_change,planned,True,True,accepted,array_max,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 1, ""planned"": 1}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_max,safemap_without_pointer_roles,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_without_pointer_roles/.safemap/runs/20260811T033512Z-array_max-10eeb596,15,2,2,1,0.5,4,2.0,0,0,{},libclang,,array_max,safe_translatable_with_api_change,planned,True,False,not_accepted,array_max,1,0,0.0,"{""not_accepted"": 1}",2,2,2,1,1,0,0,0,0,0.0,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 0, ""planned"": 1}}","{""validation_failed"": 1}",0,5,,False,,,failed,,failed,,failed,,failed,Could not build translated Rust program,passed,,"{""failed"": 4, ""passed"": 1, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_max,safemap_without_safe_signatures,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_without_safe_signatures/.safemap/runs/20260811T033513Z-array_max-86370793,15,2,2,1,0.5,4,2.0,0,0,{},libclang,,array_max,safe_translatable_with_api_change,planned,True,False,not_accepted,array_max,1,0,0.0,"{""not_accepted"": 1}",2,2,2,1,1,0,0,0,0,0.0,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 0, ""planned"": 1}}","{""validation_failed"": 1}",0,5,,False,,,failed,,failed,,failed,,failed,Could not build translated Rust program,passed,,"{""failed"": 4, ""passed"": 1, ""skipped"": 1}",,0,,1,,skipped,Disabled,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_max,safemap_without_dependency_grouping,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_without_dependency_grouping/.safemap/runs/20260811T033514Z-array_max-9cfe3b18,15,2,2,1,0.5,4,2.0,0,0,{},libclang,,array_max,safe_translatable_with_api_change,planned,True,True,accepted,array_max,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 1, ""planned"": 1}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_max,safemap_without_idiom_plans,no_supported_synthesis,No output remained when the idiom plans component was disabled.,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_without_idiom_plans/.safemap/runs/20260811T033515Z-array_max-3fac27a6,15,2,2,1,0.5,4,2.0,0,0,{},libclang,,array_max,safe_translatable_with_api_change,rejected,True,False,safe_translatable_with_api_change,array_max,1,0,0.0,"{""safe_translatable_with_api_change"": 1}",2,2,2,0,0,0,0,0,0,0.0,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""not_implemented"": 2}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,{},{},0,0,,,,,,,,,,,,,,,{},,,,,,,,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_max,safemap_without_validation_feedback,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_without_validation_feedback/.safemap/runs/20260811T033515Z-array_max-c499c7f9,15,2,2,1,0.5,4,2.0,0,0,{},libclang,,array_max,safe_translatable_with_api_change,planned,True,True,accepted,array_max,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 1, ""planned"": 1}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_total,safemap_deterministic,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_deterministic/.safemap/runs/20260811T033516Z-array_total-22fc88fd,13,2,2,1,0.5,3,1.5,0,0,{},libclang,,total_array,safe_translatable_with_api_change,planned,True,True,accepted,total_array,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 1, ""planned"": 1}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_total,safemap_without_pointer_roles,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_without_pointer_roles/.safemap/runs/20260811T033517Z-array_total-25b95b87,13,2,2,1,0.5,3,1.5,0,0,{},libclang,,total_array,safe_translatable_with_api_change,planned,True,False,not_accepted,total_array,1,0,0.0,"{""not_accepted"": 1}",2,2,2,1,1,0,0,0,0,0.0,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 0, ""planned"": 1}}","{""validation_failed"": 1}",0,5,,False,,,failed,,failed,,failed,,failed,Could not build translated Rust program,passed,,"{""failed"": 4, ""passed"": 1, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_total,safemap_without_safe_signatures,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_without_safe_signatures/.safemap/runs/20260811T033518Z-array_total-e365dcb7,13,2,2,1,0.5,3,1.5,0,0,{},libclang,,total_array,safe_translatable_with_api_change,planned,True,False,not_accepted,total_array,1,0,0.0,"{""not_accepted"": 1}",2,2,2,1,1,0,0,0,0,0.0,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 0, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 0, ""planned"": 1}}","{""validation_failed"": 1}",0,5,,False,,,failed,,failed,,failed,,failed,Could not build translated Rust program,passed,,"{""failed"": 4, ""passed"": 1, ""skipped"": 1}",,0,,1,,skipped,Disabled,,,,,0,0,0,0
safemap.benchmark_results.v3,2026-08-11T03:35:11Z,0a2298ad00c181b06c755bf0047085aa8bfa7803,False,array_total,safemap_without_dependency_grouping,completed,,/mnt/data/college/research/SafeMAP/reports/.reproduction/final-draft-development-0a2298a/ablation/safemap_without_dependency_grouping/.safemap/runs/20260811T033518Z-array_total-5e26712b,13,2,2,1,0.5,3,1.5,0,0,{},libclang,,total_array,safe_translatable_with_api_change,planned,True,True,accepted,total_array,1,1,1.0,"{""accepted"": 1}",2,2,2,1,1,1,1,1,1,0.5,"{""safe_translatable"": 1, ""safe_translatable_with_api_change"": 1}","{""candidate_safe"": 2}","{""implemented_support"": 1, ""not_implemented"": 1}","{""declared_target"": {""behaviorally_validated"": 1, ""candidate_safe"": 1, ""compile_passed"": 1, ""generated"": 1, ""implemented_support"": 1, ""policy_safe"": 1, ""total"": 1}, ""entry_point"": {""behaviorally_validated"": 0, ""candidate_safe"": 1, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 1}, ""helper"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}, ""other"": {""behaviorally_validated"": 0, ""candidate_safe"": 0, ""compile_passed"": 0, ""generated"": 0, ""implemented_support"": 0, ""policy_safe"": 0, ""total"": 0}}",False,False,"{""pointer_length_array"": {""accepted"": 1, ""planned"": 1}}",{},0,5,,True,,,passed,,passed,,passed,,passed,,passed,,"{""passed"": 5, ""skipped"": 1}",,0,,0,,skipped,Disabled,,,,1.0,0,0,0,0
